GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SROS,tom.sros.home,HomeScreenNonManagerController,19,0,0,0,11,0,6,0,6,0
SROS,tom.sros.home,HomeScreenController,21,0,0,0,13,0,7,0,7,0
SROS,tom.sros.logIn,UserDatabase,55,165,1,5,15,53,1,8,0,6
SROS,tom.sros.logIn,userManagmentController,108,0,0,0,31,0,8,0,8,0
SROS,tom.sros.logIn,LogInController,51,0,6,0,15,0,5,0,2,0
SROS,tom.sros.logIn,User,0,29,0,0,0,11,0,6,0,6
SROS,tom.sros,App,50,0,0,0,15,0,5,0,5,0
SROS,tom.sros.storageRoom,AddToStorageRoomController,237,0,4,0,64,0,13,0,11,0
SROS,tom.sros.storageRoom,StorageRoomManagmentController,349,0,8,0,88,0,21,0,17,0
SROS,tom.sros.storageRoom,BinDataBase,99,387,1,17,27,113,1,21,0,13
SROS,tom.sros.storageRoom,AddToStorageRoomNonManagerController,237,0,4,0,64,0,13,0,11,0
SROS,tom.sros.item,LocateItemNonManagerController,60,0,0,0,22,0,8,0,8,0
SROS,tom.sros.item,AddItemToDataBaseController,108,0,0,0,33,0,7,0,7,0
SROS,tom.sros.item,ItemDatabase,285,1081,5,27,76,300,4,42,0,30
SROS,tom.sros.item,LocateItemController,154,0,6,0,48,0,16,0,13,0
SROS,tom.sros.item,AddItemToDataBaseNonManagerController,108,0,0,0,33,0,7,0,7,0
SROS,tom.sros.sorter,binaryTree,131,425,21,41,14,83,16,26,1,10
SROS,tom.sros.sorter,Bin,24,84,1,1,7,25,3,11,2,11
SROS,tom.sros.sorter,binaryTree.Node,21,30,0,0,7,10,1,4,1,4
SROS,tom.sros.sorter,Box,21,249,0,0,7,92,4,32,4,32
SROS,tom.sros.sorter,newAlgorithm,46,170,8,18,11,39,7,13,1,6
SROS,tom.sros.sorter,CustOrder,0,40,0,0,0,14,0,6,0,6
SROS,tom.sros.sorter,Space,0,71,0,4,0,16,0,9,0,7
SROS,tom.sros.sorter,EmptySpace,0,10,0,0,0,2,0,1,0,1
